X,Y,OBJECTID,LOCATION,STATION,CODE,ADDRESS,ZIP,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,BUS_ROUTES,TRANSIT,AIRPORT,STATION_TY,INTERMODAL,DIST,CO
-13185606.5133,4057237.291,88,Amtrak/Metrolink Station,VAN NUYS,VNC,7724 Van Nuys Blvd.,91405,Amtrak,"Coast Starlight,Pacific Surfliner",Metrolink,Ventura County Line,"1,4", ,LAX Flyaway Bus to LAX,7,1,7,LA
-13202430.5817,4062813.7264,89,Amtrak/Metrolink Station,CHATSWORTH,CWT,10040 Old Depot Plaza Rd.,91311,Amtrak,Pacific Surfliner,Metrolink,Ventura County Line,"1,4",Chatsworth Metro Bus, ,5,1,7,LA
-13164535.9808,4045415.6807,90,Amtrak/Metrolink Station,GLENDALE,GDL,Railroad & Cerritos Ave.,91204,Amtrak,Pacific Surfliner,Metrolink,"Antelope Valley Line,Burbank-Bob Hope Airport,Ventura County Line","1b,4",Glendale Bee Line, ,5,1,7,LA
-13165326.9903,4059779.7872,91,I-210 at Lowel Ave.,LA CRESCENTA,LCA,Honolulu & Lowel Aves.,91214, , , , ,19, , ,2,0,7,LA
-13150854.2485,4122724.6178,92,Metrolink Station,LANCASTER,LCS,44812 N. Sierra Highway,93534, , ,Metrolink,Antelope Valley Line,12, , ,3,1,7,LA
-13149020.8314,4108446.1382,93,Transportation Center,PALMDALE,PMD,39000 Clock Tower Plaza Drive,93550, , ,Metrolink,Antelope Valley Line,12, , ,3,1,7,LA
-13107929.5988,4036733.4028,94,Amtrak Station,POMONA,POS,156 W. Commonwealth St.,91768,Amtrak,"Sunset Limited,Texas Eagle", , , , , ,1,0,7,LA
-13166323.745,3995168.9666,95,Catalina Terminal,SAN PEDRO,SPD,Berth 95 (Under Vincent Thomas Br),90731, , , , ,1b, , ,2,0,7,LA
-13366630.2405,4442291.0528,96,Amtrak Station,MADERA,MDR,18770 Road 26,93638,Amtrak,San Joaquin, , , , , ,1,0,6,MAD
-13331901.1768,4534232.7854,97,Yosemite View Lodge,EL PORTAL,EPL,11136 Highway 140,95318, , , , ,15, , ,2,0,10,MPA
-13354562.4646,4507039.7059,98,YARTS Bus Stop,MARIPOSA,MRP,Hwy 140 at 7th St.,95338, , , , ,15, , ,2,0,10,MPA
-13354578.9469,4507022.3978,99,Across from Visitor's Center,MARIPOSA,MRP,Hwy 140 at Hwy 49,95338, , , , ,15, , ,2,0,10,MPA
-13350233.2914,4516687.5601,100,Yosemite Bug Hostel,MIDPINES,MDP,6979 Highway 140,95345, , , , ,15, , ,2,0,10,MPA
-13313678.7674,4543493.31,101,Yosemite Lodge,YOSEMITE,YOS,Yosemite National Park,95389, , , , ,15, , ,2,0,10,MPA
-13731155.3701,4780911.2126,102,California Western Depot,WILLITS,WTS,297 E. Commercial St. at CWR/NWP Tks,95490, , , , ,7, , ,2,0,1,MEN
-13745977.9568,4820523.7987,103,Park n Takit Store & Deli,LAYTONVILLE,LTV,44900 Highway 101,95454, , , , ,7, , ,2,0,1,MEN
-13772494.9066,4848100.5783,104,Price's Peg House,LEGGETT,LEG,69501 Highway 101 (Opposite Standish-Hickey State Recreation Area),95585, , , , ,7, , ,2,0,1,MEN
-13714001.8436,4743396.4085,105,Burger King,UKIAH,UKH,711 E. Perkins St.,95481, , , , ,7, , ,2,0,1,MEN
-13411433.7418,4481983.0972,106,Amtrak Station,MERCED,MCD,324 W. 24th St.,95340,Amtrak,San Joaquin, , ,15,Merced The Bus, ,5,1,10,MER
-13570924.8709,4375064.6131,107,Chevron Station,CARMEL,CRM,3645 Rio Road at Hwy 1,93923, , , , ,68, , ,2,0,5,MON
-13485165.5387,4328824.9062,108,McDonald's,KING CITY,KGC,1350 Broadway Circle,93930, , , , ,"17,21", , ,2,0,5,MON
-13569177.6768,4383175.677,109,Transit Plaza,MONTEREY,MRY,Tyler & Pearl,93940, , , , ,"55,68", , ,2,0,5,MON
